Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
ALTW.8THST3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.8THST4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.BVRCH2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.DAEC,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.FAIR1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.FAIR2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.FPL_DAEC,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.JOULGSCIP,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.JOULGSIPL,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.MQOKTAGEN,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.PRARC1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.PRARC3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.PRARC4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.RCCSRCC1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.ALSEYCTG1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.ALSEYCTG2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.ALSEYCTG3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.ALSEYCTG4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.ALSEYCTG5,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.AMAEAMAN,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.CC.CSTN,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.CC.MRDOSI,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.CLINTO51,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.COFFEEN1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.COFFEEN2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.COG_ACOGG,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.CSTN3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.CSTNCTG1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.CSTNCTG2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.DEWITT,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.GBCCTG1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.GBCCTG2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.HAVANA86,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.HUTSONVL3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.HUTSONVL4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.IOW_AFRYT,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.MERDOSIA3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.MERDOSIA4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.MERDOSI_1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.MERDOSI_2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.NEWTON21,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.NEWTON22,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.NLT_ANEW_,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.PEARLG1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.PEARLG2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.PTWF,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGA,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGB,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGC,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGD,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGE,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGF,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGG,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.REI2CTGH,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.SWECCTG1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.TILTNCC1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.TILTNCC2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.TILTNCC3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.TILTNCC4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.TRA_ATRAE,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.VERMILN83,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.VIN_ALA_P,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.VIN_AVINT,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.WLBRWEST,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.WVPA.AGWD,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMIL.W_BRCTIPT,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.GOOSEGEN1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.GOOSEGEN2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.GOOSEGEN3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.GOOSEGEN4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.GOOSEGEN5,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.GOOSEGEN6,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.KMDYCTG1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
AMMO.KMDYCTG2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLD.CEC2CTG1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLD.CEC2CTG2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLD.CEC2CTG3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLD.CEC2CTG4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLP.DALLMA83,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLP.DALLMA84,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLP.DALLMA91,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLP.DALLMA92,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLP.FACTOR91,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLP.INTERSA81,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
CWLP.REYNOLS91,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MEC.CORALV1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MEC.CORALV2,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MEC.CORALV3,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MEC.CORALV4,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MEC.LOUISA_1,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MEC.MOLCT_14,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MEC.RIVSID_5,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MPW.UNIT_7,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MPW.UNIT_8,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MPW.UNIT_8A,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
MPW.UNIT_9,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NIPS.DR.GOSHHC,Zone 1,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NIPS.DR.HORSE,Zone 1,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NIPS.DR.MITTAL,Zone 1,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NIPS.DR.PACTIV,Zone 1,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NIPS.DR.PRAXAR,Zone 1,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NIPS.DR.USG,Zone 1,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NIPS.DR.WEILMC,Zone 1,DEMSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
NSP.BAT.SER,Zone 1,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,.98,.99,.96,.76
ALTW.AMESWIND,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.BRLGTN1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.BRLGTN2,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.BRLGTN3,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.BRLGTN4,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.BRLGTN5,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.CC.SLAK1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.CC.SLAK2,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.GRCT1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.GRCT2,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.MTOWNCT1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.MTOWNCT2,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.MTOWNCT3,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.NCENT1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.NCENT2,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.OTTUMW1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.ROQUETTE1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.SLAK_1N,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.SLAK_2N,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.SLAK_31,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.SLAK_32,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.STORYALTM,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.STORYBUCK,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.STORYCOII,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.STORYHEPM,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.STORYWVPA,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.SUTH1,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.SUTH3,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.WSEC3,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.WSEC4,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
ALTW.W_JEFERSN,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
AMIL.AMS_ASTOR,Zone 2,GENSPINMCP,.7,.7,.7,.7,.68,.68,.68,.68,.68,.68,.68,.68,.7,.68,.68,.68,.7,1.59,2.15,1,1.01,.99,.98,.76
