Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AMIL.REI2CTGC,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.REI2CTGD,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.REI2CTGE,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.REI2CTGF,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.REI2CTGG,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.REI2CTGH,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.SWECCTG1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.TILTNCC1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.TILTNCC2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.TILTNCC3,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.TILTNCC4,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.TRA_ATRAE,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.VERMILN83,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.VIN_ALA_P,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.VIN_AVINT,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.WLBRWEST,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.WVPA.AGWD,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMIL.W_BRCTIPT,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.GOOSEGEN1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.GOOSEGEN2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.GOOSEGEN3,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.GOOSEGEN4,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.GOOSEGEN5,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.GOOSEGEN6,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.KMDYCTG1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
AMMO.KMDYCTG2,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
CWLD.CEC2CTG1,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
